"Id","Yard number","Yard name","Sale Date M/D/CY","Day of Week","Sale time (HHMM)","Time Zone","Item#","Lot number","Vehicle Type","Year","Make","Model Group","Model Detail","Body Style","Color","Damage Description","Secondary Damage","Sale Title State","Sale Title Type","Has Keys-Yes or No","Lot Cond. Code","VIN","Odometer","Odometer Brand","Est. Retail Value","Repair cost","Engine","Drive","Transmission","Fuel Type","Cylinders","Runs/Drives","Sale Status","High Bid =non-vix,Sealed=Vix","Special Note","Location city","Location state","Location ZIP","Location country","Currency Code","Image Thumbnail","Create Date/Time","Grid/Row","Make-an-Offer Eligible","Buy-It-Now Price","Image URL","Trim","Last Updated Time"
33,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,26279210,"V",2014,"KIA","SOUL +","SOUL +","4DR SPOR","SILVER","REAR END","FRONT END","CA","SC","YES","D","KNDJP3A52E7711144",84162.0,"A",8960.0,0.0,"2.0L  4","Front-wheel Drive","AUTOMATIC","GAS","4","Run & Drive Verified","Pure Sale","0.0","VEH LOCATED @ FAIRFLD SUBLOT","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX237/0a06e375-1442-4ed8-ad3a-5362f16f6e4b.JPG","2020-02-18-07.08.43.000384","FF090","N",0.0,"http://inventory.copart.io/v1/lotImages/26279210?country=us&brand=cprt&yardNumber=1","+","2020-02-17T18:45:59Z"
34,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,26355560,"V",2012,"FORD","F150 SUPER","F150 SUPER","CREW PIC","GOLD","SIDE","","CA","SC","YES","D","1FTEW1CM9CFA17910",171699.0,"A",12355.35,0.0,"3.7L  6","Rear-wheel drive","AUTOMATIC","FLEXIBLE FUEL","6","Run & Drive Verified","On Minimum Bid","0.0","","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX237/dc7e5d21-4f3e-490c-88c9-cbd4439178e5.JPG","2020-02-18-07.08.43.000385","SH009","N",0.0,"http://inventory.copart.io/v1/lotImages/26355560?country=us&brand=cprt&yardNumber=1","SUPERCREW","2020-02-17T23:33:22Z"
35,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,26370030,"V",2003,"BMW","Z4 3.0","Z4 3.0","CONVERTI","BLACK","MINOR DENT/SCRATCHES","","CA","CQ","YES","D","4USBT53403LU01962",111517.0,"A",0.0,0.0,"3.0L  6","Rear-wheel drive","AUTOMATIC","GAS","6","Run & Drive Verified","On Minimum Bid","525.0","VEH LOCATED @ FAIRFLD SUBLOT","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX237/6808980f-3b5f-45d7-a6b8-ba5993e9e56a.JPG","2020-02-18-07.08.43.000390","EE050","N",0.0,"http://inventory.copart.io/v1/lotImages/26370030?country=us&brand=cprt&yardNumber=1","3.0","2020-02-14T03:10:29Z"
36,1,"CA - VALLEJO",0,"",1200,"PST",0,26410350,"V",2012,"NISSAN","ALTIMA","ALTIMA S","COUPE","BLACK","FRONT END","REAR END","CA","SC","YES","S","1N4AL2EP8CC107268",109475.0,"A",7221.0,7613.18,"2.5L  4","Front-wheel Drive","AUTOMATIC","GAS","4","Vehicle Starts","Pure Sale","0.0","VALLEJO SUBLOT              ","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX239/3452ae79-d518-4ddd-bd97-28ada20fa7b3.JPG","2020-02-18-07.08.43.000391","SG005","N",0.0,"http://inventory.copart.io/v1/lotImages/26410350?country=us&brand=cprt&yardNumber=1","S","2020-02-17T22:12:08Z"
37,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,26439080,"V",2007,"ACURA","MDX","MDX","4DR SPOR","CHARCOAL","SIDE","","CA","SC","YES","D","2HNYD28207H514732",161749.0,"A",7912.0,0.0,"3.7L  6","All wheel drive","AUTOMATIC","GAS","6","Run & Drive Verified","Pure Sale","0.0","VALLEJO SUBLOT              ","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX238/200a81e6-96a9-4776-9d8f-8f29a2ff214a.JPG","2020-02-18-07.08.43.000391"," E060","N",0.0,"http://inventory.copart.io/v1/lotImages/26439080?country=us&brand=cprt&yardNumber=1","","2020-02-13T20:01:43Z"
38,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,26441310,"V",2018,"GMC","SIERRA K15","SIERRA K15","","GRAY","FRONT END","","CA","SC","YES","D","3GTU2NEC8JG291307",10589.0,"A",38694.0,0.0,"5.3L  8","4x4 w/Rear Wheel Drv","AUTOMATIC","GAS","8","Run & Drive Verified","Pure Sale","3500.0","","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX237/f60f8108-eccf-4c7a-bc4d-f0ee10b775cf.JPG","2020-02-18-07.08.43.000392"," E030","N",0.0,"http://inventory.copart.io/v1/lotImages/26441310?country=us&brand=cprt&yardNumber=1","K1500 SLT","2020-02-13T19:00:09Z"
39,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,26527970,"V",2008,"VOLKSWAGEN","PASSAT","PASSAT KOM","SEDAN 4D","BLACK","FRONT END","","CA","SC","YES","D","WVWAK73CX8E055793",67926.0,"A",6721.0,0.0,"2.0L  4","Front-wheel Drive","AUTOMATIC","GAS","4","Run & Drive Verified","Pure Sale","0.0","VALLEJO SUBLOT              ","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX237/b3e4f6a4-1695-4a73-b07d-ec8bd5684e29.JPG","2020-02-18-07.08.43.000392","II030","N",0.0,"http://inventory.copart.io/v1/lotImages/26527970?country=us&brand=cprt&yardNumber=1","KOMFORT","2020-02-17T18:38:14Z"
40,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,26532400,"V",2014,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","FRONT END","","CA","SC","YES","E","5YFBURHE7EP092903",118066.0,"A",12281.0,0.0,"1.8L  4","Front-wheel Drive","AUTOMATIC","GAS","4","DEFAULT","Pure Sale","0.0","VEH LOCATED @ FAIRFLD SUBLOT","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX238/88e7e6a2-202d-4971-ae1e-af6a418643c6.JPG","2020-02-18-07.08.43.000392","AA100","N",0.0,"http://inventory.copart.io/v1/lotImages/26532400?country=us&brand=cprt&yardNumber=1","L","2020-02-12T18:55:01Z"
41,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,26543330,"V",2012,"HYUNDAI","ELANTRA","ELANTRA GL","SEDAN 4D","SILVER","FRONT END","","CA","SC","YES","D","KMHDH4AE2CU288544",152240.0,"A",6011.0,0.0,"1.8L  4","Front-wheel Drive","AUTOMATIC","GAS","4","Run & Drive Verified","Pure Sale","0.0","VALLEJO SUBLOT              ","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX241/6e73b0e7-d736-4f67-9a3f-20a89dca687b.JPG","2020-02-18-07.08.43.000393","AREC3","N",0.0,"http://inventory.copart.io/v1/lotImages/26543330?country=us&brand=cprt&yardNumber=1","GLS","2020-02-17T19:16:17Z"
42,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,26544150,"V",2013,"KIA","SOUL","SOUL","4DR SPOR","GREEN","SIDE","","CA","SC","YES","E","KNDJT2A55D7610524",80596.0,"A",7767.0,0.0,"1.6L  4","Front-wheel Drive","AUTOMATIC","GAS","4","DEFAULT","Pure Sale","0.0","VALLEJO SUBLOT              ","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX237/5f7f7b72-281f-4113-b6cf-381b5460c55c.JPG","2020-02-18-07.08.43.000393","GG090","N",0.0,"http://inventory.copart.io/v1/lotImages/26544150?country=us&brand=cprt&yardNumber=1","","2020-02-14T18:35:37Z"
